"blueWins","blueKills","blueDeaths","blueAssists","blueEliteMonsters","blueTowersDestroyed","blueTotalGold","blueAvgLevel","blueGoldDiff","blueExperienceDiff","blueCSPerMin","blueGoldPerMin","redKills","redDeaths","redAssists","redEliteMonsters","redTowersDestroyed","redTotalGold","redAvgLevel","redGoldDiff","redExperienceDiff","redCSPerMin","redGoldPerMin"
1,11,6,15,1,0,18606,7.2,2526,1625,21.4,1860.6,6,11,4,0,0,16080,7,-2526,-1625,22.5,1608
0,4,13,5,0,0,15878,6.8,-2835,-2821,20.3,1587.8,13,4,14,1,0,18713,7.2,2835,2821,20.9,1871.3
0,4,6,3,0,0,15773,7,-1254,-567,23.8,1577.3,6,4,10,1,0,17027,7,1254,567,23.1,1702.7
0,4,3,4,2,0,15906,6.8,406,1283,23.8,1590.6,3,4,3,0,0,15500,7,-406,-1283,22,1550
1,6,9,10,0,0,16515,6.8,-1020,493,20.8,1651.5,9,6,13,0,0,17535,6.6,1020,-493,19.7,1753.5
0,4,8,4,0,0,15415,6.2,-2472,-1067,20.4,1541.5,8,4,13,1,0,17887,7,2472,1067,22.1,1788.7
1,8,6,9,1,0,17178,7,1260,-55,20.9,1717.8,6,8,3,0,0,15918,6.8,-1260,55,23.3,1591.8
0,7,4,9,0,0,17226,7,1857,2015,22.8,1722.6,4,7,2,1,0,15369,6.6,-1857,-2015,20.2,1536.9
0,8,6,13,1,0,17474,6.8,1320,-413,21.7,1747.4,6,8,11,0,0,16154,6.8,-1320,413,22.3,1615.4
0,3,8,2,1,0,14905,6.8,-3282,-1647,23.3,1490.5,8,3,12,0,0,18187,7.4,3282,1647,22.5,1818.7
1,9,4,10,1,0,18132,7,2883,2111,22.8,1813.2,4,9,2,0,0,15249,6.2,-2883,-2111,22.7,1524.9
1,5,2,6,2,0,16053,6.8,1703,1696,21.8,1605.3,2,5,2,0,0,14350,6.4,-1703,-1696,20.6,1435
0,6,4,7,0,0,16438,6.8,608,-85,20.3,1643.8,4,6,4,1,0,15830,6.8,-608,85,20.6,1583
0,5,4,4,0,0,15634,6.8,71,-359,20.1,1563.4,4,5,4,1,0,15563,6.8,-71,359,22.2,1556.3
1,6,4,4,0,0,16085,7.4,275,872,20.4,1608.5,4,6,5,1,0,15810,7.2,-275,-872,22.3,1581
0,3,4,6,0,0,14981,6.8,-809,638,23.5,1498.1,4,3,7,2,0,15790,6.8,809,-638,21.8,1579
0,2,8,2,1,0,15421,7.2,-2771,-1125,21.7,1542.1,8,2,5,0,0,18192,7.4,2771,1125,23.4,1819.2
0,5,6,4,1,0,15665,6.8,-1730,-1236,20.3,1566.5,6,5,6,1,0,17395,7,1730,1236,21.4,1739.5
0,7,9,5,1,0,17528,7.2,-904,1377,23.4,1752.8,9,7,9,1,0,18432,7,904,-1377,22.7,1843.2
0,3,6,3,1,0,15032,6.6,-1683,-1363,21.3,1503.2,6,3,6,1,0,16715,7,1683,1363,23.6,1671.5
0,4,11,3,0,0,15483,6.8,-3025,-1833,22.2,1548.3,11,4,16,1,0,18508,7.2,3025,1833,21.3,1850.8
1,10,6,12,0,0,19226,7.4,3004,2300,23.1,1922.6,6,10,7,0,0,16222,7,-3004,-2300,18.5,1622.2
1,9,6,14,1,0,16945,6.8,1574,761,20.4,1694.5,6,9,6,0,0,15371,6.8,-1574,-761,19.4,1537.1
1,5,5,3,0,0,15000,6.6,-1036,-1423,23.3,1500,5,5,4,0,0,16036,7,1036,1423,22.1,1603.6
0,3,4,2,1,0,15888,7.4,16,433,25.2,1588.8,4,3,2,1,0,15872,7,-16,-433,24.3,1587.2
0,1,10,0,0,0,12925,6.4,14,-4210,18.7,1292.5,10,1,6,1,0,19311,7.2,-14,4210,24.7,1931.1
1,11,2,9,0,0,19250,7.6,5096,3310,25.1,1925,2,11,2,0,0,14154,6.4,-5096,-3310,19.6,1415.4
1,8,4,5,1,0,18355,7,2756,1683,21.8,1835.5,4,8,5,0,0,15599,6.8,-2756,-1683,20,1559.9
1,2,3,2,1,0,13978,6.6,-977,-1025,18,1397.8,3,2,1,0,0,14955,6.8,977,1025,21.8,1495.5
0,5,5,8,0,0,15851,6.8,-808,-1655,20.6,1585.1,5,5,6,0,0,16659,7.2,808,1655,24.1,1665.9
0,7,9,5,0,0,16474,6.6,-1559,-407,20.9,1647.4,9,7,13,1,0,18033,6.8,1559,407,20.6,1803.3
1,6,8,6,0,0,16590,7,544,75,21.3,1659,8,6,7,0,0,16046,7,-544,-75,18.2,1604.6
1,5,2,2,2,0,15737,7,1381,1017,21.7,1573.7,2,5,1,0,0,14356,7,-1381,-1017,21.2,1435.6
1,5,3,5,0,0,16990,7.4,2031,1449,24.8,1699,3,5,5,1,0,14959,7,-2031,-1449,21,1495.9
0,3,3,2,1,0,15297,7,131,370,24.6,1529.7,3,3,1,0,0,15166,7.2,-131,-370,22.7,1516.6
0,4,10,4,1,0,15651,7,-2699,-2749,22.4,1565.1,10,4,11,1,0,18350,7.4,2699,2749,20.1,1835
0,5,7,7,1,0,15587,6.8,-1672,-2698,18.1,1558.7,7,5,6,0,0,17259,7.4,1672,2698,21.8,1725.9
1,10,6,11,1,0,17777,7.2,1201,316,21.3,1777.7,6,10,5,0,0,16576,6.8,-1201,-316,23.4,1657.6
1,7,5,5,2,0,16426,7,-108,59,22.2,1642.6,5,7,4,0,0,16534,6.8,108,-59,24.7,1653.4
0,10,7,11,0,0,20278,7.2,4633,2269,23.6,2027.8,7,10,6,1,0,15645,6.6,-4633,-2269,18.2,1564.5
0,2,7,0,0,0,13791,6.6,-2262,-1391,19.1,1379.1,7,2,4,1,0,16053,6.8,2262,1391,21.8,1605.3
0,6,7,5,0,0,16505,7,-49,500,20.8,1650.5,7,6,10,1,0,16554,6.8,49,-500,20.7,1655.4
1,6,4,4,1,0,17277,7.2,1687,1089,22.9,1727.7,4,6,5,1,0,15590,7.2,-1687,-1089,23.2,1559
1,9,1,10,2,0,18269,7.2,3933,2922,22.9,1826.9,1,9,1,0,0,14336,6.4,-3933,-2922,23.3,1433.6
0,4,10,3,1,0,14166,6.6,-4061,-4397,20.3,1416.6,10,4,6,0,0,18227,7.4,4061,4397,22.4,1822.7
0,6,12,7,0,0,15456,6.6,-4920,-3280,18.8,1545.6,12,6,11,1,0,20376,7.4,4920,3280,24,2037.6
0,4,5,2,0,0,15180,7,-1705,-1839,21,1518,5,4,1,0,0,16885,7.2,1705,1839,22.7,1688.5
0,7,8,8,1,0,16179,6.8,105,-1547,21.2,1617.9,8,7,5,1,0,16074,7,-105,1547,20,1607.4
1,3,5,3,0,0,16026,7,-554,521,23.3,1602.6,5,3,6,1,0,16580,6.8,554,-521,23.4,1658
0,4,5,4,0,0,14850,6.8,-1037,-1577,19.8,1485,5,4,5,1,0,15887,7,1037,1577,24.1,1588.7
0,9,8,7,1,0,17347,7,-1144,480,20.2,1734.7,8,9,11,1,0,18491,7,1144,-480,19.9,1849.1
1,5,4,6,0,0,15887,6.8,1173,953,20,1588.7,4,5,3,1,0,14714,6.6,-1173,-953,18.6,1471.4
0,8,2,11,0,0,17399,7,3194,2534,23.2,1739.9,2,8,2,1,0,14205,6.6,-3194,-2534,20.8,1420.5
0,2,7,1,1,0,13828,6.6,-2622,-1136,20.4,1382.8,7,2,7,0,0,16450,6.8,2622,1136,19.2,1645
1,6,4,4,1,0,16645,7.2,1151,470,24.2,1664.5,4,6,3,1,0,15494,7,-1151,-470,20.5,1549.4
1,6,4,8,2,0,16248,6.8,1463,1490,20,1624.8,4,6,8,0,0,14785,6.6,-1463,-1490,16.9,1478.5
0,4,6,1,0,0,15310,7,-1038,-1307,22.1,1531,6,4,5,2,0,16348,7.2,1038,1307,22.6,1634.8
1,8,4,7,1,0,16784,6.6,1424,1060,21.2,1678.4,4,8,5,0,0,15360,6.4,-1424,-1060,18,1536
1,13,9,6,1,0,19032,7.4,527,721,23.2,1903.2,9,13,5,0,0,18505,7,-527,-721,21.6,1850.5
0,7,6,12,0,0,17518,7.2,1807,932,24.2,1751.8,6,7,9,2,0,15711,6.8,-1807,-932,19.8,1571.1
0,11,4,12,1,0,18976,7.4,2856,1262,25.6,1897.6,4,11,6,1,0,16120,7.2,-2856,-1262,21,1612
0,6,6,10,1,0,16143,6.6,-964,-2454,20.4,1614.3,6,6,3,1,0,17107,7,964,2454,24.1,1710.7
0,7,8,6,1,0,15868,7,-178,524,19.9,1586.8,8,7,6,1,0,16046,6.8,178,-524,17.8,1604.6
1,9,8,7,1,0,17977,7,705,192,23.5,1797.7,8,9,8,0,0,17272,7,-705,-192,20.7,1727.2
1,10,10,14,1,0,18138,7,908,306,20.8,1813.8,10,10,16,0,0,17230,7,-908,-306,21,1723
1,7,2,12,2,0,18025,7.2,3558,3243,26.1,1802.5,2,7,3,0,0,14467,6.8,-3558,-3243,22,1446.7
0,1,6,0,0,0,14625,6.8,-1299,-49,24.1,1462.5,6,1,3,1,0,15924,7,1299,49,21.8,1592.4
1,5,8,7,1,0,15752,6.6,-1763,-1864,20.1,1575.2,8,5,6,0,0,17515,7.2,1763,1864,24.8,1751.5
1,10,4,12,0,0,18480,7.4,2547,2189,23.2,1848,4,10,4,0,0,15933,6.6,-2547,-2189,24.7,1593.3
0,3,10,2,1,0,14995,6.6,-3685,-3119,21,1499.5,10,3,13,1,0,18680,7.4,3685,3119,20,1868
0,7,11,3,0,0,15655,6.4,-3689,-4682,19.4,1565.5,11,7,7,1,0,19344,7.2,3689,4682,21.6,1934.4
0,3,5,2,0,0,15562,7.2,-764,803,23.6,1556.2,5,3,6,2,0,16326,6.8,764,-803,23.3,1632.6
1,9,2,5,0,0,17139,7.2,3037,2694,22.3,1713.9,2,9,2,1,0,14102,6.6,-3037,-2694,21.3,1410.2
1,7,7,6,0,0,19229,7.2,3545,2162,25.7,1922.9,7,7,10,1,0,15684,6.6,-3545,-2162,21.8,1568.4
0,7,7,10,1,0,16972,7.2,-1031,-394,20.9,1697.2,7,7,7,0,0,18003,7.4,1031,394,25.5,1800.3
0,5,10,6,0,0,16249,7,-1796,-749,21.3,1624.9,10,5,15,1,0,18045,7,1796,749,21.4,1804.5
1,5,4,9,0,0,16415,6.8,1626,747,24.7,1641.5,4,5,5,1,0,14789,7,-1626,-747,20.3,1478.9
1,6,8,10,1,0,18012,7.2,832,1330,25,1801.2,8,6,11,1,0,17180,7,-832,-1330,18.6,1718
1,11,6,11,2,0,19294,7.4,2750,2647,24.2,1929.4,6,11,9,0,0,16544,7,-2750,-2647,20.3,1654.4
0,5,8,4,1,0,15383,6.8,-1524,-827,22.7,1538.3,8,5,11,0,0,16907,7,1524,827,18.6,1690.7
0,6,8,2,1,0,15777,6.6,-1370,-875,22.4,1577.7,8,6,9,0,0,17147,7,1370,875,21,1714.7
0,4,6,4,0,0,14805,6.6,-1506,-412,20.9,1480.5,6,4,7,1,0,16311,7,1506,412,23.1,1631.1
0,6,7,2,0,0,15244,6.6,-1101,-718,19.9,1524.4,7,6,5,2,0,16345,7,1101,718,21.2,1634.5
0,8,3,7,1,0,17574,7.2,2774,2207,25.2,1757.4,3,8,2,1,0,14800,6.6,-2774,-2207,22.5,1480
0,8,11,9,0,0,16655,7,-1806,-588,22.2,1665.5,11,8,13,2,0,18461,7,1806,588,21.5,1846.1
0,6,4,8,1,0,16855,7,1265,1248,24.8,1685.5,4,6,4,1,0,15590,6.8,-1265,-1248,20.7,1559
1,6,14,4,0,0,15786,6.6,-4443,-4140,20,1578.6,14,6,9,1,0,20229,7.6,4443,4140,22.7,2022.9
0,3,5,1,0,0,15143,7.2,-927,967,23.3,1514.3,5,3,7,1,0,16070,7,927,-967,21.6,1607
1,9,5,9,0,0,17309,7,1425,728,22.1,1730.9,5,9,3,2,0,15884,6.8,-1425,-728,20.8,1588.4
1,6,4,6,1,0,16416,7.4,1177,1161,21.1,1641.6,4,6,2,0,0,15239,7,-1177,-1161,20.4,1523.9
1,2,7,2,1,0,15222,7,-1586,410,23.1,1522.2,7,2,14,1,0,16808,6.8,1586,-410,21.1,1680.8
0,5,10,3,2,0,15526,6.8,-2896,-2081,23.2,1552.6,10,5,6,0,0,18422,7.4,2896,2081,23.6,1842.2
1,12,9,10,0,0,17597,6.4,905,1054,21.8,1759.7,9,12,9,0,0,16692,6.2,-905,-1054,18.1,1669.2
0,9,6,6,0,0,16834,6.2,-3887,-3392,18.7,1683.4,6,9,6,0,0,16378,7,3887,3392,21.1,1637.8
1,12,6,12,1,0,19058,7.2,3413,2984,20.2,1905.8,6,12,7,0,0,15645,6.6,-3413,-2984,21,1564.5
0,7,9,5,2,0,16806,7,-256,-1580,22.8,1680.6,9,7,7,0,0,17062,7.4,256,1580,23,1706.2
1,7,10,7,0,0,16643,6.8,-1820,-1412,22.7,1664.3,10,7,11,0,0,18463,7.2,1820,1412,23.1,1846.3
1,6,4,12,1,0,16189,6.8,625,-534,22.4,1618.9,4,6,4,0,0,15564,7,-625,534,21.7,1556.4
0,2,6,1,0,0,14095,6.8,-3628,-2009,19.6,1409.5,6,2,4,1,0,17723,7,3628,2009,26.6,1772.3
0,5,5,7,1,0,16804,6.8,769,480,21.7,1680.4,5,5,6,1,0,16035,6.4,-769,-480,23.3,1603.5
0,8,8,8,1,0,17305,7,-576,-682,22.9,1730.5,8,8,6,1,0,17881,7,576,682,19.8,1788.1
0,3,9,2,0,0,14539,6.4,-3900,-3550,21.3,1453.9,9,3,8,1,0,18439,7.6,3900,3550,25.5,1843.9
1,9,8,10,1,0,17530,7,-7,-231,19.2,1753,8,9,8,1,0,17537,7.2,7,231,20.9,1753.7
1,10,7,10,0,0,18431,7.2,1683,1433,20.7,1843.1,7,10,5,1,0,16748,7,-1683,-1433,23.1,1674.8
0,3,10,2,0,0,14032,6.8,-4782,-3408,19.3,1403.2,10,3,11,1,0,18814,7.4,4782,3408,24.5,1881.4
1,9,7,11,1,0,17869,7,636,-214,20.5,1786.9,7,9,9,0,0,17233,6.8,-636,214,21.5,1723.3
1,7,14,6,1,0,15974,6.2,-3421,-2624,18.3,1597.4,14,7,12,0,0,19395,7.2,3421,2624,21.9,1939.5
1,5,3,6,1,0,16108,7.2,976,1599,24,1610.8,3,5,5,0,0,15132,6.8,-976,-1599,23,1513.2
0,6,7,6,0,0,16302,6.8,-211,-1305,21.2,1630.2,7,6,7,1,0,16513,7.2,211,1305,21.1,1651.3
1,7,5,6,0,0,16750,6.8,1221,462,21.5,1675,5,7,5,0,0,15529,6.8,-1221,-462,19.7,1552.9
1,7,1,8,0,0,16506,7.2,2037,1291,22.6,1650.6,1,7,0,1,0,14469,6.6,-2037,-1291,21.7,1446.9
1,6,3,11,1,0,16389,7,817,-94,24.1,1638.9,3,6,3,0,0,15572,6.8,-817,94,22.9,1557.2
1,4,4,4,0,0,15760,7,-137,-351,21.5,1576,4,4,1,1,0,15897,7,137,351,22.7,1589.7
1,4,7,4,1,0,15176,6.4,-1539,-1497,22.6,1517.6,7,4,12,0,0,16715,7.2,1539,1497,20.5,1671.5
0,5,7,4,0,0,15196,6.4,-1707,-1286,19.1,1519.6,7,5,10,1,0,16903,7,1707,1286,21.6,1690.3
1,6,9,2,1,0,16250,7,-556,-235,22.8,1625,9,6,13,0,0,16806,6.8,556,235,21.8,1680.6
1,9,7,15,1,0,16541,6.6,-146,-717,19.9,1654.1,7,9,8,1,0,16687,6.8,146,717,22.5,1668.7
1,12,4,9,1,0,18657,7.2,4083,2884,22.7,1865.7,4,12,1,1,0,14574,6.6,-4083,-2884,19.1,1457.4
1,5,5,6,0,0,16873,7.2,1389,1418,22.3,1687.3,5,5,7,1,0,15484,6.8,-1389,-1418,22.6,1548.4
0,3,4,3,1,0,14383,6.4,-890,-528,21.1,1438.3,4,3,5,1,0,15273,6.4,890,528,20.8,1527.3
0,4,9,5,0,0,14420,6.4,-2519,-1095,19.2,1442,9,4,15,0,0,16939,6.4,2519,1095,19.4,1693.9
0,4,6,4,0,0,14720,6.2,-4440,-4020,18.3,1472,6,4,14,0,0,19160,7.4,4440,4020,20.1,1916
1,7,6,7,0,0,17406,7.2,1140,705,25.1,1740.6,6,7,4,2,0,16266,7.2,-1140,-705,19,1626.6
0,5,7,2,0,0,15210,6.4,-1656,-1832,17.2,1521,7,5,3,0,0,16866,6.8,1656,1832,21.9,1686.6
1,10,5,16,0,0,17272,6.4,2171,-261,19.2,1727.2,5,10,6,2,0,15101,6.6,-2171,261,19.9,1510.1
1,12,4,15,0,0,19358,7.2,3841,2484,20.6,1935.8,4,12,3,0,0,15517,6.8,-3841,-2484,21.6,1551.7
1,4,11,5,1,0,16855,6.6,-885,-2172,23.2,1685.5,11,4,15,1,0,17740,7.2,885,2172,21.6,1774
0,3,8,4,2,0,15209,6.6,-2752,-2286,19.1,1520.9,8,3,9,0,0,17961,7.2,2752,2286,24.1,1796.1
1,13,9,6,0,0,19542,7,2081,466,20.7,1954.2,9,13,11,0,0,17461,7,-2081,-466,20,1746.1
0,4,3,4,0,0,15267,6.6,453,-19,23.2,1526.7,3,4,3,0,0,14814,6.8,-453,19,20.9,1481.4
0,3,1,3,1,0,15243,6.6,830,-1002,22.4,1524.3,1,3,1,1,0,14413,6.8,-830,1002,22,1441.3
0,8,8,3,0,0,16214,6.8,94,-445,20.3,1621.4,8,8,6,0,0,16120,7,-94,445,16.8,1612
0,8,6,12,2,0,15976,7,-722,891,17.8,1597.6,6,8,6,0,0,16698,6.6,722,-891,23.2,1669.8
0,6,7,10,1,0,16557,6.8,-1491,-799,23,1655.7,7,6,11,1,0,18048,7,1491,799,22.2,1804.8
0,6,14,3,0,0,16142,6.8,-3109,-1745,19.8,1614.2,14,6,16,2,0,19251,7,3109,1745,20.1,1925.1
0,7,11,9,0,0,17984,7.2,537,-477,23,1798.4,11,7,11,1,0,17447,7.2,-537,477,17.8,1744.7
1,13,5,10,2,0,20038,7.8,4079,-28,22.2,2003.8,5,13,6,0,0,15959,6.6,-4079,28,20.8,1595.9
1,10,5,13,0,0,19571,7.2,4006,2081,21.3,1957.1,5,10,6,0,0,15565,6.6,-4006,-2081,21,1556.5
0,3,10,4,0,0,14557,6.4,-3582,-28,20,1455.7,10,3,10,2,0,18139,7.6,3582,28,24.6,1813.9
1,6,6,5,0,0,16029,7,-355,233,20.5,1602.9,6,6,5,1,0,16384,7,355,-233,22.4,1638.4
1,7,6,8,0,0,18053,6.6,3464,994,20.7,1805.3,6,7,6,0,0,14589,6.4,-3464,-994,17.8,1458.9
1,9,5,9,1,0,18098,7,2217,2183,22.5,1809.8,5,9,3,1,0,15881,6.6,-2217,-2183,22.9,1588.1
1,8,3,9,2,0,18343,7.2,3049,1511,23.5,1834.3,3,8,2,0,0,15294,7,-3049,-1511,23.4,1529.4
1,5,6,4,1,0,15596,7,-305,-474,19.8,1559.6,6,5,7,0,0,15901,7,305,474,19.9,1590.1
0,4,2,6,1,0,15812,7,1325,479,22.9,1581.2,2,4,1,1,0,14487,7,-1325,-479,21.8,1448.7
1,6,6,10,0,0,15947,6.4,-53,87,22.1,1594.7,6,6,9,1,0,16000,6.4,53,-87,20.3,1600
0,5,9,5,0,0,14997,6.6,-2865,-1441,19.6,1499.7,9,5,7,1,0,17862,6.8,2865,1441,23.7,1786.2
0,7,7,5,0,0,16463,6.8,-93,-561,21.5,1646.3,7,7,8,1,0,16556,7,93,561,21.7,1655.6
0,6,7,7,0,0,16072,6.6,-420,-1185,22.5,1607.2,7,6,10,1,0,16492,7.2,420,1185,21.2,1649.2
1,7,3,6,1,0,19140,7.4,5008,2355,25.3,1914,3,7,3,1,0,14132,6.8,-5008,-2355,17.9,1413.2
0,4,6,1,0,0,14547,6.4,-2074,-1795,18.8,1454.7,6,4,5,2,0,16621,6.8,2074,1795,19.6,1662.1
1,5,4,7,1,0,15644,6.8,-3,1013,18.8,1564.4,4,5,7,0,0,15647,6.6,3,-1013,19,1564.7
0,5,5,5,0,0,15734,7,-837,-660,21.3,1573.4,5,5,7,2,0,16571,7,837,660,24.9,1657.1
1,5,5,6,1,0,16794,6.8,510,-747,22.9,1679.4,5,5,6,1,0,16284,7.2,-510,747,21.6,1628.4
0,6,11,8,1,0,15930,6.8,-3549,-2407,20,1593,11,6,12,0,0,19479,7.4,3549,2407,21.4,1947.9
1,6,6,6,0,0,16936,7.2,272,359,24,1693.6,6,6,7,1,0,16664,6.8,-272,-359,19.9,1666.4
1,9,5,9,0,0,17941,7.2,2187,2189,23,1794.1,5,9,5,0,0,15754,7,-2187,-2189,20.6,1575.4
0,2,8,4,0,0,13698,6.2,-4907,-2556,22.2,1369.8,8,2,11,1,0,18605,7,4907,2556,24.2,1860.5
1,5,4,3,1,0,15943,7.4,63,648,23.8,1594.3,4,5,5,0,0,15880,7,-63,-648,21,1588
1,4,8,6,1,0,15891,7,-2132,-484,22.2,1589.1,8,4,13,1,0,18023,7,2132,484,23,1802.3
0,5,6,5,1,0,16216,7,-976,-964,21.1,1621.6,6,5,8,1,0,17192,7.6,976,964,22.2,1719.2
0,3,5,3,0,0,14754,6.6,-1342,-1966,18.6,1475.4,5,3,6,1,0,16096,7.2,1342,1966,21.8,1609.6
1,8,2,5,1,0,16909,7.2,2304,2532,22.9,1690.9,2,8,2,0,0,14605,6.2,-2304,-2532,20.8,1460.5
1,10,2,11,0,0,18858,7.2,4219,3379,21.8,1885.8,2,10,1,1,0,14639,6.6,-4219,-3379,21.9,1463.9
0,6,7,7,0,0,15952,6.8,-2049,-2340,18,1595.2,7,6,9,0,0,18001,7.2,2049,2340,24.3,1800.1
0,1,5,2,0,0,13286,6.2,-4179,-3823,18.7,1328.6,5,1,4,1,0,17465,7,4179,3823,23.6,1746.5
0,6,6,9,0,0,16812,7.2,-66,-1073,26.9,1681.2,6,6,3,1,0,16878,7,66,1073,24.5,1687.8
1,9,7,13,2,0,17906,6.8,510,142,17.8,1790.6,7,9,4,0,0,17396,6.8,-510,-142,21.5,1739.6
0,4,3,2,1,0,16408,7.2,2591,1567,26.3,1640.8,3,4,1,1,0,13817,6.8,-2591,-1567,20.8,1381.7
0,4,12,5,0,0,15056,6.4,-3772,-3034,19.8,1505.6,12,4,6,1,0,18828,7.4,3772,3034,17.7,1882.8
0,6,6,11,1,0,17831,6.8,965,-878,24,1783.1,6,6,7,0,0,16866,7,-965,878,23.3,1686.6
0,1,5,1,0,0,13738,6.6,-3468,-2158,22.3,1373.8,5,1,7,2,0,17206,7.4,3468,2158,25.9,1720.6
1,14,3,15,0,0,20317,7.4,6153,3916,21.2,2031.7,3,14,4,0,0,14164,6.4,-6153,-3916,19.6,1416.4
0,0,5,0,0,0,14091,6.4,-2216,-2730,23.3,1409.1,5,0,8,1,0,16307,7,2216,2730,22.9,1630.7
0,6,11,4,1,0,16036,6.6,-2308,-1767,19.1,1603.6,11,6,14,0,0,18344,7.2,2308,1767,20.6,1834.4
1,6,6,5,1,0,17052,6.6,1917,-179,21,1705.2,6,6,3,1,0,15135,7,-1917,179,19.4,1513.5
0,4,7,6,0,0,16354,7,-1676,-1759,26.8,1635.4,7,4,8,1,0,18030,7.4,1676,1759,24.4,1803
1,10,5,8,1,0,18297,7.2,2709,1259,24.2,1829.7,5,10,7,0,0,15588,6.8,-2709,-1259,21.4,1558.8
0,6,8,5,0,0,15748,6.6,-1304,-552,22.2,1574.8,8,6,12,1,0,17052,6.8,1304,552,21.6,1705.2
1,8,5,10,1,0,17886,7.4,1824,1409,22.9,1788.6,5,8,5,0,0,16062,7.2,-1824,-1409,22.2,1606.2
0,11,8,15,0,0,17069,6.6,229,-45,17.4,1706.9,8,11,9,2,0,16840,6.8,-229,45,21.2,1684
1,4,4,4,1,0,16631,7.2,1507,1667,25.2,1663.1,4,4,1,0,0,15124,7,-1507,-1667,21.4,1512.4
0,1,5,3,1,0,14766,7,-1787,-1135,23.1,1476.6,5,1,4,0,0,16553,7,1787,1135,23.5,1655.3
0,8,7,3,0,0,17113,7.2,815,1397,23.4,1711.3,7,8,4,0,0,16298,6.8,-815,-1397,18.2,1629.8
0,5,14,6,1,0,15120,6.6,-4767,-28,16.7,1512,14,5,9,0,0,19887,7.8,4767,28,23.8,1988.7
0,4,6,6,0,0,15339,6.6,-1861,-2532,22.1,1533.9,6,4,10,1,0,17200,7,1861,2532,26.2,1720
0,1,14,1,1,0,13438,7,14,-4485,17.4,1343.8,14,1,6,0,0,16378,7,-14,4485,23.4,1637.8
1,4,9,3,0,0,15582,6.8,-2058,-2051,21.2,1558.2,9,4,11,0,0,17640,7.2,2058,2051,22.4,1764
1,5,5,7,1,0,15441,6.6,-575,-208,20.1,1544.1,5,5,3,0,0,16016,6.8,575,208,21.3,1601.6
0,4,2,2,1,0,16002,7.2,1765,701,24.5,1600.2,2,4,1,0,0,14237,6.8,-1765,-701,21.2,1423.7
0,5,5,8,1,0,16009,6.8,540,269,22,1600.9,5,5,8,1,0,15469,6.8,-540,-269,18.5,1546.9
